volume,number,title,date_subject,date_published,graphics,physical,subject,location,abstract,notes,catalog_date,catalog_by,date_entered,date_modified,source_file
Volume 4,4105,Draft consolidated annual performance and evaluation report. Fiscal Year 2002,,Sept. 2002,Chart,15 pp.,"[""HOUSING"", ""COMMUNITY DEVELOPMENT BLOCK GRANT (CDBG)"", ""HOME INVESTMENT PARTNERSHIP PROGRAM (HOME)""]","[""HOUSING--2000-""]",,Replace with final report when it is apporved.,"February 18, 2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4106,2002 annual water-quality report.,2002-01-01,,,4 pp.,"[""WATER SYSTEM"", ""WATER QUALITY""]","[""WATER SYSTEM--2000-""]",,,"February 18, 2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4107,[Railroads.] DO Ted Pryor,,,"Photoprints, 2",2 1/2x3 B/W,"[""RAILROADS"", ""WASHINGTON AND OLD DOMINION (W & OD) RAILROAD"", ""STR LEE HWY"", ""ROOSEVELT ST""]","[""RAILROADS--WASHINGTON AND OLD DOMINION (W"", ""&OD) RAILROADS""]",,Scanned from small booklet of prints and enlarged.,"February 18, 2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4108,Draft consolidated annual performance and evaluation report (CAPER) for housing and community development activities.,Fiscal year 2003,,Charts,22 pp.,"[""HOUSING"", ""COMMUNITY DEVELOPMENT BLOCK GRANT (CDBG)"", ""HOME INVESTMENT PARTNERSHIP PROGRAM (HOME)""]","[""HOUSING--2000-""]",,Replace with final report when it is approved.,"February 18, 2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4109,Resolution appointing a city clerk and setting the compensation for fiscal year 1999-2000.,2000-01-24,,,1p.,"[""CITY CLERK""]","[""CITY CLERK""]",,,"March 05, 2004",BC,2016-03-07,,General_Index_FCHR_Vol_4
Volume 4,4110,"Resolution amending resolution 76-42, as last amended by res. 96-9, to further decrease the membership of the Falls Church Commission for Women.","Feb. 14,2000",,,1p.,"[""COMMISSION FOR WOMEN--MEMBERSHIP"", ""ORG COMMISSION FOR WOMEN""]","[""COMMISSION FOR WOMEN""]",,,"March 05,2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4111,"Building the vision : the Washington Street corridor, Falls Church, Virginia",1991.,,,66p.;28 cm.,"[""WASHINGTON ST N"", ""WASHINGTON ST S"", ""CITY PLANNING-FALLS CHURCH--VA"", ""STR WASHINGTON STN"", ""WASHINGTON ST S"", ""SA rf WASHINGTON ST""]",[],,Two copies circulate; one copy on Reference Review at Reference Desk; one copy in VaC. Technical memorandum (16 p.) included inside front cover,"March 08, 2004",,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4112,Annual report of the City of Falls Church Historic Architectural Review Board (HARB) for the period 1 January through 31 December 2001.,"Jan. 1,2002",,,3 pp.,"[""HISTORIC HOUSES"", ""STR OAK ST N--303"", ""BROAD ST E--303"", ""BROAD ST E--513"", ""GREAT FALLS ST--401"", ""COLUMBIA ST E--109"", ""BROAD ST E--225"", ""JEFFERSON ST E--206"", ""OAK ST S--116"", ""GREAT FALLS ST--532""]","[""HISTORIC ARCHITECTURAL REVIEW BOARD""]",,,"March 09,2004 148",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4113,"An ordinance amending ordinance 1641, as has been previously amended by ordinances 1651 and 1658, which ordinance fixes and determines the budget of expenditures and revenues, appropriating funds for the fiscal year 1999-2000: school improvement fund and public works improvement fund (appropriating funds to create a new capital improvement program, ""school building modifications & additions,"" and to increase the budget for the George Mason field renovation CIP).","Feb. 14,2000",,,1p.,"[""GEORGE MASON JR/SR HIGH SCHOOL--ATHLETIC FIELDS"", ""BUDGET""]","[""GEROGE MASON MIDDLE/HIGH SCHOOL--ATHLETIC"", ""FIELDS""]",,,"March 09, 2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4114,The City honors its Olympic torchbearers.,2001-12-21,"Dec. 5,2001",,4 pp.,"[""OLYMPIC GAMES"", ""OLYMPIC TORCH"", ""STR BROAD ST""]","[""SPORTS"", ""149""]",,Includes a brief biography of each torchbearer.,"March 09, 2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4115,[City of Falls Church organizational chart.],2004-03-10,,Chart,1p.,"[""CITY GOVERNMENT--ORGANIZATION""]","[""CITY GOVERNMENT""]",,,"March 10, 2004",BC,2016-03-07,,General_Index_FCHR_Vol_4
Volume 4,4116,City of Falls Church Economic Development Authority. 150 2001 annual report.,,,Charts,17pp.,"[""ECONOMIC DEVELOPMENT AUTHORITY--ANNUAL REPORT""]","[""ECONOMIC DEVELOPMENT AUTHORITY--2001""]",,Printout of a PowerPoint presentation.,"March 23,2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4117,Resolution setting the compensation for the city clerk for fiscal year 2001-2002.,"Oct. 22,2001",,,1p.,"[""CITY EMPLOYEES--SALARIES"", ""CITY CLERK"", ""RESOLUTIONS""]","[""CITY CLERK""]",,,"March 23,2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4118,Resolution setting the compensation of the city attorney for ficxal year 2001-02.,"Oct. 22,2001",,,1p.,"[""CITY EMPLOYEES-SALARIES"", ""CITY ATTORNEY"", ""151"", ""RESOLUTIONS""]","[""CITY ATTORNEY""]",,,"March 23,2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4119,Resolution setting the compensation of the city manager for fiscal year 2001-02.,"Oct. 22,2001",,,1p.,"[""CITY EMPLOYEES--SALARIES"", ""CITY MANAGER"", ""RESOLUTIONS""]","[""CITY MANAGER.""]",,,"March 23,2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4120,Resolutions initiating the affordable dwelling unit program official administrative procedures and regulations.,"Oct. 22,2001",,,1p.,"[""HOUSING"", ""AFFORDABLE DWELLING UNIT (ADU) PROGRAM""]","[""HOUSING 2000-""]",,,"March 23,2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4121,George Mason high school mustangs 2003-2004 winter sports program. 152,2003-01-01 2004,,Photos Charts Drawings,18pp.,"[""GEORGE MASON JR/SR HIGH SCHOOL--SPORTS""]","[""GEORGE MASON JR/SR HIGH SCHOOL--SPORTS 2000-""]",,,"April 04, 2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4122,Affordable dwelling unit program official administrative procedures and regulations.,Oct. 2001,,,11 pp.,"[""HOUSING"", ""AFFORDABLE DWELLING UNIT (ADU) PROGRAM""]","[""HOUSING 2000-""]",,,"April 06, 2004",BC,2016-03-07,,General_Index_FCHR_Vol_4
Volume 4,4123,"An ordinance to amend chapter 38, zoning, of the code of the City of Falls Church, Virginia, by amending and reenacting section 38-2, definitions and enacting section 38-43, affordable dwelling unit program, to provide a voluntary mechanism for creating affordable housing units in exchange for a residential density bonus and/or deferred development fees.","2001-05-29 Oct. 22,2001",,Chart 153,6 pp.,"[""HOUSING"", ""AFFORDABLE DWELLING UNIT (ADU) PROGRAM""]","[""HOUSING 2000-""]",,,"April 06, 2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4124,Laying down roots.,"Mar. 24,2004",,Photo,,"[""TREES"", ""NEIGHBORHOOD TREE PROGRAM"", ""STR WASHINGTON ST N--220"", ""ORG VILLAGE PRESERVATION AND IMPROVEMENT SOCIETY"", ""(VPIS)"", ""FALLS CHURCH ARTS"", ""STREAM STEWARDS""]","[""TREES--NEIGHBORHOOD TREE PROGRAM""]",,,"April 06, 2004",,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4125,[Falls Church Arts.],2004-01-01,,,7p.,"[""ART"", ""ARTISTS"", ""ORG FALLS CHURCH ARTS (FCA)""]","[""ARTISTS""]",,,"April 14, 2004",BC,2016-03-07,,General_Index_FCHR_Vol_4
Volume 4,4126,"Arbor Day - April 16, 2004. Thomas Jefferson Elementary School, school ceremony.","Apr. 16,2004 DO Eckert, David G.",,,7 pp.,"[""TREES"", ""ARBOR DAY""]","[""ARBOR DAY""]",,,"April 22, 2004",BC,"March 07,2016 155",,General_Index_FCHR_Vol_4
Volume 4,4127,Mount Daniel School. Arbor Day ceremony.,"Apr. 19,2004 DO Dave Eckert",,Drawing,1p.,"[""ARBOR DAY"", ""TREES""]","[""ARBOR DAY""]",,,"April 22, 2004",BC,2016-03-07,,General_Index_FCHR_Vol_4
Volume 4,4128,"Mayor and town council -- April, 1892.",Apr. 1892 Various DO Dave Eckert,,,10 pp.,"[""ARBOR DAY"", ""STR"", ""OAK ST S--116"", ""COLUMBIA ST E--114"", ""COLUMBIA ST E--208"", ""GREAT FALLS W--210"", ""WEST ST S--409"", ""WASHINGTON ST N--282"", ""JEFFERSON ST E--215"", ""ORG VILLAGE IMPROVEMENT SOCIETY"", ""OAKWOOD CEMETERY ASSOCIATION"", ""SA 3868""]","[""ARBOR DAY""]",,Provides additional information on persons named in 3868.,"April 22, 2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4129,[Matin Bros Store],,,Photoprint,4x4 B/W NAC MARTIN BROS,"[""BUSINESSES"", ""STR"", ""LEE HWY--6826""]","[""Porter print drawer, (ARL)--EFC--LEE HWY--6826""]",,,"June 05, 2004 157",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4130,"Great places to live. Southern comforts: Virginia boasts gracious waterfront living, old traditions, cozy communities, and some of Dixie's prettiest neighborhoods.",,"April 2004 DO Ahn, Chung",Photo,1p.,"[""LAND SUBDIVISION"", ""BROADMONT"", ""LAKE BARCROFT"", ""LYON PARK"", ""HOLLIN HILLS"", ""LITTLE ROCKY RUN""]","[""BROADMONT""]",,Article from the Washingtonian.,"June 11,2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4131,"Annual report, City of Falls Church Planning Commission, January 2001-January 2002.",2002-01-01,,,3 pp.,"[""PLANNING COMMISSION--ANNUAL REPORT""]","[""PLANNING COMMISSION""]",,,"June 15,2004",BC,"March 07,2016","November 21,2019",General_Index_FCHR_Vol_4
Volume 4,4132,"Legislative update. Actions of the city council for January 12, 2004. Resolution amending special exception SE01-0013, ""The Broadway"" at 502 West Broad Street to Waterford Development-Falls Church, LLC granted on September 10, 2001, to release and delete condition 2 relating to school mitigation measures. (Res 2004-4) Resolution amending the 2003-2004 capital improvement plan adopted on May 12, 2003. (TR04-6, tabled) Resolution reappointing council member David Snyder to the Northern Virginia Transportation Commission for the year 2004. (Res 2004-1) Resolution to correct technical errors in ordinance 1724, chapter 25 of the City Code. (Res 2004-2) Resolution adopting the City of Falls Church 2004 legislative program. (Res 2004-3)",2004-01-12,,,2 pp.,"[""CITY COUNCIL--LEGISLATIVE UPDATES"", ""RESOLUTIONS"", ""BOARDS AND COMMISSIONS--APPOINTMENTS"", ""LEGISLATIVE PROGRAM--2004"", ""STR BROAD ST W--502""]","[""CITY COUNCIL--LEGISLATIVE UPDATES--2000-2005""]",,File located in the front of the drawer containing City Council packets.,"June 16, 2004",BC,2015-03-30,"March 30,2015",General_Index_FCHR_Vol_4
Volume 4,4133,"Legislative update. Actions of the city council for February 2, 2004. An ordinance to amend chapter 38, zoning, of the code of the City of Falls Church, Virginia, by repealing section 38-42, ""CBPA, Chesapeake Bay Preservation Area Overlay District,"" and reenacting it to expand the resource protection areas, thereby, buffering additional streams in the City; and expand the resource management areas. (T03- 24) Resolution amending the 2003-2004 capital improvement plan adopted on May 12, 2003. (Res 2004-6) Resolution approving the new middle school guaranteed maximun price. (Res 2004-7) A resolution of the city council of the City of Falls Church, Virginia authorizing the issuance and sale of general obligation public school bonds, series 2004. (Res 2004-8) Resolution to release the mixed-use redevelopment agreement (Broad Street business campus) associated with SP00-0092. (TR04-10) 444 West Braod Street (Pavilion), RZ03-041 for a rezoning from T-1 to B-1, SE03-042 for a mixed use development special exception, and SE03-043 height bonus special exception. (T04-1) Resolution granting special exceptions SE03-42 and SE03-43 at 444 West Broad Street. (TR04-11) Ordinance to amend chapter 38, zoning, section 38-4 (f) ""special exceptions,"" 4 (a) ""primary criteria."" (T04-2) Resolution endorsing the need for a renewed partnership between the federal, state, and local governments to meet WMATA's critical funding. (Res 2004-5) Resolution designating applicant's agent (FEMA reimbursements). (Res 2003-36) Authorizing the application for and administration of a Save America's Treasures grant for a John Jackson Center for the Piedmont Blues. (Res 2003-40) Resolution reappointing council member David Snyder to the Northern Virginia Transportation Commission for the year 2004. (Res 2004-1) Resolution to correct technical errors in ordinance 1724, chapter 25, of the city code. (Res 2004-2) 160","Feb. 2,2004",,,2 pp.,"[""CITY COUNCIL--LEGISLATIVE UPDATES"", ""RESOLUTIONS"", ""ORDINANCES"", ""BOARDS AND COMMISSIONS--APPOINTMENTS"", ""STR BROAD ST W--444""]","[""CITY COUNCIL--LEGISLATIVE UPDATES--2000-2005""]",,File located in the front of the drawer containing the City Council packets.,"June 16,2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4134,"Legislative update. Actions of the city council for February 23, 2004. A resolution of the city council of the City of Falls Church, Virginia authorizing the issuance and sale of general obligation refunding bonds, series 2004. (Res 2004-12) Ordinance to amend sections 20-45 through section 20-51 of the city code, affecting the vehicle license application process and fees. (T04-4) Ordinance to amend chaper 33, ""taxation."" section 33-48, ""how assessed"" to change the deadline for submission of appeals to the board of equalization. (T04-5) Resolution to adopt FY2005 annual action plan of the consolidated plan for housing and community development. (Res 2004-10) Resolution appointing city council members to COG policy boards/committees for the year 2004. (Res 2004-11) Ratification of 2003 business awards nominations.","Feb 23,2004",,,,"[""CITY COUNCIL--LEGISLATIVE UPDATES"", ""RESOLUTIONS"", ""ORDINANCES"", ""BOARDS AND COMMISSIONS--APPOINTMENTS""]","[""CITY COUNCIL--LEGISLATIVE UPDATES--2000-2005""]",,File located in the front of the drawer containing the City Council packets.,"June 16,2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4135,"Legislative update. Actions of the city council for March 8, 2004. Ordinance to amend sections 20-45 through section 20-51 of the city code, affecting the vehicle license application process and fees. (Ord. 1750) Ordinance to amend chapter 33 ""taxation,"" section 33-48, ""how assessed"" to change the deadline for submission of appeals to the board of equalization. (Ord. 1751) Resolution to release the mixed-use redevelopment agreement (Broad Street business campus) associated with SP00-0092. (Res 2004-13) An ordinance to amend the official zoning district map of the City of Falls Church, Virginia, by rezoning a total of approximately 1.45 acres of land owned by Waterford Development LLC and Jefferson 450 LLC, described as a portion of lots Al and A2 and the entirety of lots 1-4, Riley subdivision, deed book 3073, page 348, located on the south side of the 400 block of West Broad Street, from T-1, transitional to B-1, limited business district. (Ord. 1752) Resolution granting special exceptions SE03-0142 (mixed-use) and SE03-0143 (height bonus) at 444 West Broad Street. (Res 2004-14) Ordinance to amend chapter 33 of the code of the City of Falls Church, Virginia, section 33-3, ""tax levied on tangible personal property, machinery and tools; proration; filing and payment dates; extensions of time to file"" to change the process of filing personal 162 property tax returns. (T04-6) Ordinance to amend chapter 18, ""licenses,"" section 18-22, ""financial or real estate services"" to change the tax rate. (T04-7) Ordinance to change polling place in Ward II within the City of Falls Church as of June 1, 2004. (T04-8)",2004-03-08,,,,"[""CITY COUNCIL--LEGISLATIVE UPDATES"", ""RESOLUTIONS"", ""ORDINANCES"", ""STR BROAD ST W-400 BLOCK"", ""BROAD ST W--444""]","[""CITY COUNCIL--LEGISLATIVE UPDATES--2000-2005""]",,File located in the front of the drawer containing the City Council packets.,"June 16, 2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4136,"Legislative update. Actions of the city council for March 22, 2004. Ordinance to amend chapter 33 of the code of the City of Falls Church, Virginia, section 33-3, ""tax levied on tangible personal property, machinery and tools; proration; filing and payment dates; extensions of time to file"" to change the process of filing personal property tax returns. (Ord. 1753) Ordinance to amend chapter 18, ""licenses,"" section 18-22, ""financial or real estate services"" to change the tax rate. (Ord. 1754) Ordinance to change polling place in Ward II within the City of Falls Church as of June 1, 2004. (Ord. 1755) Resolution requesting that the city council of the City of Falls Church, Virginia endorse a transportation enhancement program application that requests the commonwealth transportation board to establish a streetscape project for the improvement of a portion of West Broad Street. (Res 2004-15) Ordinance setting the rate of tax levy on real estate, personal property 163 and machinery and tools, and all other property segregated by law for local taxation in the City of Falls Church, Virgina, for the tax year 2004. (T04-10) An ordinance fixing and determining the budget of expenditures and revenues, appropriating funds for the fiscal year 2004-2005: general fund; school operating fund; school community service fund; and school food service fund; water revenue fund and sewer revenue fund and approval of the capital improvement plan. (T04-9) Ordinance to amend chapter 33, taxation, of the code of the City of Falls Church, Virginia, section 33-48, ""how assessed"" to increase the number of members of the board of equalization. (T04-11) Authorize the city manager to award a contract for water main design services to Michael Baker Jr., Inc.",2004-03-22,,,3 pp.,"[""CITY COUNCIL--LEGISLATIVE UPDATES"", ""RESOLUTIONS"", ""ORDINANCES"", ""BOARDS AND COMMISSIONS--APPOINTMENTS"", ""STR BROAD STW""]","[""CITY COUNCIL--LEGISLATIVE UPDATES--2000-2005""]",,File is located in the front of the drawer containing the City Council packets.,"June 16,2004",BC,"February 17,2016","February 17,2016",General_Index_FCHR_Vol_4
Volume 4,4137,Summer Concerts in Cherry Hill Park.,"2004-06-24 Aug. 5, 2004",,,8xll,"[""MUSIC--CONCERTS"", ""CHERRY HILL PARK"", ""MOVIES--FILMS"", ""STR PARK AVE"", ""ORG VILLAGE PRESERVATION AND IMPROVEMENT SOCIETY"", ""164"", ""RECREATION AND PARKS DEPARTMENT""]","[""CONCERTS""]",,,"June 16,2004",,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4138,"Legislative update. Actions of the city council for June 14, 2004. Resolution establishing fees and charges for restoration of water service subsequent to disconnection for default in payment of water bill or other violations. (Res 2004-18) Resolution to approve the solid waste management plan for the City of Falls Church. (Res 2004-19) An ordinance to amend section 38-38, ""fp, floodplain district"" of chapter 38, ""zoning,"" of the code of the City of Falls Church, Virginia. (T04-18) An ordinance to amend Chapter 20, motor vehicles and traffic, of the code of the City of Falls Church, Virginia, by amending and reenacting section 20-2 to incorporate therein certain amendments, effective July 1, 2004, to the code of Virginia title 46.2 (motor vehicle laws), section 18.2-166 et seq. (driving motor vehicles, etc., while intoxicated), and section 16.2-1'78 et seq. (disposition of cases in juvenile and domestic relations district court). (T04-17) Resolution amending resolution 2004-9 to extend the 120-day negotiating period with the Akridge Companies for the purpose of preparing a master development agreement. (Res 2004-20) Authorize the city manager to sign an agreement for utility location and marking services in the amount of $220,000 with Double H Locates, LLc Authorize the city manager to extend the existing contract for traffic signal and street light maintenance in the amount of $97,749.54 to M. C. Dean, Inc.","June 14,2004",,,3 pp.,"[""CITY COUNCIL--LEGISLATIVE UPDATES"", ""ORDINANCES"", ""RESOLUTIONS"", ""BOARDS AND COMMISSIONS--APPOINTMENTS""]","[""CITY COUNCIL--LEGISLATIVE UPDATES--2000-2005""]",,File located in the front of the drawer containing City Council packets.,"June 26,2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4139,[Railroad right-of-way.],"Apr2, 1855 Aug 21, 1854 May 21, 1855 DO Camp, Shirley",,,3 pp.,"[""RAILROADS"", ""REAL PROPERTY"", ""DEEDS""]","[""RAILROADS--ALEXANDRIA, LOUDOUN, AND HAMPSHIRE"", ""RAILROADS""]",,Deed Book W3:196 Deed Book W3:198 Deed Book W3:299,"June 26, 2004",BC,2016-03-07,,General_Index_FCHR_Vol_4
Volume 4,4140,"[Osborn, Crossman, Mutersbaugh deed. ]","1865-05-29 DO Camp, Shirley 166",,,12pp.,"[""REAL PROPERTY"", ""DEEDS""]","[""fh OSBORN, CYRUS""]",,Deed book E4:400-405,"June 29, 2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4141,Falls Church City photo red light enforcement camera changes location.,"Jun 22,2004",,,,"[""PUBLIC SAFETY"", ""TRAFFIC SIGNS AND SIGNALS"", ""PHOTO RED LIGHT CAMERAS"", ""STR ANNANDALE RD & HILLWOOD AVE"", ""BROAD ST E & CHERRY ST"", ""MARSHALL ST & WASHINGTON ST""]","[""TRAFFIC SIGNALS""]",,"""The City's main objective is not to issue citations, but to improve overall safety with CrossingGuards's collission avaoidance feature.""","July 06,2004",,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4142,"Alexandria library, 1890 veterans census [index]. 167 1890 veterans census of Alexandria, Falls Church, and Fairfax, Fauquier, Loudoun, Prince Wuilliam, and Stafford counties.",1890-01-01,,,12pp.,"[""UNITED STATES--CENSUS--1890"", ""VETERANS""]","[""UNITED STATES--CENSUS--1890--VETERANS""]",,"This index to the veterans census was printed from the Alexandria Public Library website. Only surnames listed for Falls Church District have been indexed. Widows of veterans are indicated by ""(w/0)."" Index provides first and last names, county, district, and, in most cases, company, regiment or vessel.","July 06, 2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4143,Warning: coyote presence in the City of Falls Church,,,Photo,,"[""COYOTES--CHARACTERISTICS"", ""ANIMALS"", ""ORG FALLS CHURCH POLICE DEPARTMENT"", ""FALLS CHURCH ANIMAL CONTROL""]","[""ANIMALS""]",,,"July 07,2004",,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4144,"Legislative update. Actions of the city council for July 1, 2004. Revised 7-13-04. Resolution adopting rules of procedure of the city council of the City of Falls Church, Virginia as of July 1, 2004. (Res 2004-27)","Jul 1,2004",,,1 pp.,"[""CITY COUNCIL--LEGISLATIVE UPDATES"", ""RESOLUTIONS"", ""MAYORS"", ""VICE MAYORS""]","[""CITY COUNCIL--LEGISLATIVE UPDATES--2000-2005""]",,File located in the front of the drawer containing the City Council packets.,"July 15,2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4145,"Legislative update. 169 Actions of the city council for July 12, 2004. Resolution in opposition to Dominion Virginia Power's proposed 230kV transmission line corridor in the W&)D Regional Trail. (Res 2004-27) Resolution granting special exception SE04-0162 for mixed use development at 400-412 South Maple Ave. (RPC# 52-309-023), known as ""500 South Maple Avenue"" to Atlantic Realty Companies, Inc. (TRO4-19) Resolution to appoint a task force on open space acquisition. (TR04-30) An ordinance to amend section 20-17 of chapter 20, ""motor vehicles and traffic,"" of the code of the City of Falls Church, Virginia. (T04-19) Authorize the city manager to sign a contract renewal with The Falls Church News-Press weekly newspaper in the amount of $57,200.00 to provide publishing services for the city and schools' weekly news insert, the weekly FOCUS.","Jul. 12,2004",,,1 pp.,"[""CITY COUNCIL--LEGISLATIVE UPDATES"", ""RESOLUTIONS"", ""ORDINANCES"", ""STR MAPLE AVE S--400-412""]","[""CITY COUNCIL--LEGISLATIVE UPDATES--2000-2005""]",,File located in the front of the drawer containing the City Council packets.,"July 15,2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4146,[Kidwell Deed.],"1832-05-16 July 6, 1837 Nov's, 1844 DO Camp, Shirley",,,2 pp.,"[""REAL PROPERTY"", ""170""]","[""fh OSBORN, CYRUS""]",,Fairfax County Deed Book J3:38-39,"July 15,2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4147,[Kidwell - Osborn Deed.],"1832-05-16 July 6, 1837 Feb 19, 1846 Mar 5, 1846 Apr 19, 1852 DO Camp, Shirley",,,2 pp.,"[""REAL PROPERTY""]","[""fh OSBORN, CYRUS""]",,Fairfax County Deed Book Q3:488-489,"July 15,2004",BC,2016-03-07,,General_Index_FCHR_Vol_4
Volume 4,4148,City of Falls Church recycling and litter prevention council. 2001 annual report.,"2001-01-01 Mar 11, 2002","Mar 11,2002",,6 pp.,"[""RECYCLING (WASTE, ETC.)"", ""LITTER (TRASH)"", ""ORG RECYCLING AND LITTER PREVENTION COUNCIL (RLPC)""]","[""RECYCLING (WASTE, ETC.)""]",,,"July 24,2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4149,"Authorize the city manager to sign a contract with The Falls Church News-Press weekly newspaper in the amount of $57,200, to provide publishing services for the City and schools weekly news insert, The Weekly FOCUS. Sole source notice pursuant to [section] 2.2-4303 of the code of Virginia.",2002-06-10,,,3 pp.,"[""NEWSPAPERS""]","[""NEWSPAPERS--FALLS CHURCH NEWS-PRESS""]",,,"July 24,2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4150,Voluntary relocation guidelines,"Oct. 23,2001 [Jun 10, 2002]",,Chart,11pp.,"[""HOUSING""]","[""HOUSING--2000-""]",,"This is an update of the guidelines published in 1996. The guidelines were agenda item # 10 (a) (1) of the City Council packet for June 10, 2002.","July 27,2004 172",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4151,[Dulany / Shepherd deed.],"Dec?2, 1867 Mar 2, 1866 DO Camp, Shirley",,,2 pp.,"[""REAL PROPERTY"", ""SA VaCol 975.529 Camp -- Past Time Around Falls Church , esp. pps 50"", ""and 66.""]","[""FXCO--GREENWAY DOWNS""]",,Fairfax County Deed Book H4:424-425,"July 27,2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4152,[Shepherd / Barbour deed.],"Decs, 1867 May 29, 1869 Jun 2, 1869 Jun 3, 1869 DO Camp, Shirley",,,3 pp.,"[""REAL PROPERTY"", ""SA VaCol 975.529 Camp -- Past Time Around Falls Church , esp. pps 50"", ""and 66.""]","[""FXCO--GREENWAY DOWNS""]",,Fairfax County Deed Book 14:524-526.,"July 27,2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4153,"Ordinance (T02-4) an ordinance to vacate a portion of the unimproved right-of-way of Rothsay St., being adjacent to lots 12, 13, and 14, Block F, Woodland Subdivision.",2002-07-08,,Maps Chart,,[],"[""rfROTHSAY ST""]",,"Agenda item 10 (c) (1) of the July 8, 2002 City Council meeting.","August 03,2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4154,[Munson Hill],"1962-03-05 DO Porter, Lota F.",,Photoprint 174,8x10 B/W,"[""HOUSES"", ""ORG LEESBURG PIKE--6129""]","[""FX CO--LEESBURG PIKE--6129""]",,Porter records indicate there should be two envelopes labeled C-3388. Only one envelope was photocopied and the contents indexed.,"August 04,2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4155,"Legislative update. Actions of the city council for July 12, 2004, revised: 7-16-04. Resolution in opposition to Dominion Virginia Power's proposed 230kV transmission line corridor in the W&OD Trail. (Res. 2004-27) Resolution granting special exception SE04-0162 for mixed use development at 400-412 South Maple Avenue (RPC# 52-309-023), known as ""500 South Maple Avenue"" to Atlantic Realty Companies, Inc. (TR04-19) Resolution to appoint a task force on open space acquisition. (Res. 2004-28) An ordinance to amend section 20-17 of chapter 20, ""motor vehicles and traffic,"" of the code of the City of Falls Church, Virginia. (T04-19) Authorize the city manager to sign a contract renewal with The Falls Church News-Press weekly newspaper in the amount of $57,200.00 to provide publishing services for the city and schools' weekly news insert, the weekly FOCUS.","Jul 12,2004 Jul. 16,2004",,,2 pp.,"[""CITY COUNCIL--LEGISLATIVE UPDATES"", ""RESOLUTIONS"", ""ORDINANCES"", ""STR MAPLE AVE S--400-412""]","[""CITY COUNCIL--LEGISLATIVE UPDATES--2000-2005""]",,File located in the front of the drawer containing the City Council packets.,"August 06,2004",BC 175,"March 07,2016",,General_Index_FCHR_Vol_4
Volume 4,4156,"[Staffreport, RZ02-126, C-D outline development plan, Diener Tract, 400-412 South Maple Avenue.]","Jul. 26,2002",,Maps Photos,30 pp.,"[""DIENER TRACT"", ""ZONING"", ""STR MAPLE AVE S--400-412""]","[""rf MAPLE AVE S--400 BLOCK""]",,,"August 06, 2004",BC,"March 07,2016",,General_Index_FCHR_Vol_4
