grantee,acreage,county,date,snippet
PAUL WOODBRIDGE,600,Lancaster,1664-11-18,"PAUL WOODBRIDGE, 600 acs. in Rappa. Co., on the N. side of sd. River, 18 Nov. 1664, p. 391, (446). Between Moratico Cr. & Farnham Cr., beg. in the main woods & adj. land of Mr. Jno. Newman, thence N.Wly. Sec. to head of Mr. Thomas Glascocks land, thence N.W. along same &c. to a poquoson, thence N.Ely, along land of Mr. Henry Wilson, thence N.E. by N. along land of Thomas Stephens Orphant to the head of a deep valley &c. 400 due in joynt tenure with Mr. Jno. Newman by patent the 19 Sept. 1664 & b..."
PETER HACKE,1000,Lancaster,1665-01-01,"PETER HACKE, 1000 acs. N'ampton Co., 11 Sept. 1665, p. 404, (464). 900 acs. at Pungotegue Cr. beg. at a little branch on the S. side, extending Wly. down same, bounded on E. by sd. branch & land of Sampson Robins, on N. by the main Cr., W. by the bay & S. towards Nondui Cr; 100 acs. contained in 2 small islands neere the N. point of Pungotegue Cr. Granted to Dr. George Hacke, deed., 526 Cavaliers and Pioneers late husband of sd. Ann & father of sd. Geo. Nich. & Peter Hacke, which sd. George diei..."
JOHN LACY,28,Lancaster,1665-01-01,"JOHN LACY, 28 acs. on S. side of Rappa. Co., 18 Sept. 1665, p. 405, (466). Bounding upon his former devdt. & Roger Overton. Trans, of Jno. Jnoson. JNO. SYMMONDS (Symons) & GEORGE GILHAM (Gillam), 65 acs. on N. side of Lancaster Co., 18 Sept. 1665, p. 405, (466). Trans, of James Jnoson."
GEORGE VEZEY,85,Lancaster,1665-01-01,"GEORGE VEZEY, 85 acs. on N. side of Lancaster Co., 18 Sept. 1665, p. 406, (467). Trans, of 2 pers: Mary Jones, Susan Godlad."
WM. WROUGHTON,400,Lancaster,1665-01-01,"WM. WROUGHTON, 400 acs. on N. side of Lancaster Co., 18 Sept. 1665, p. 406, (467). Beg. at a marked pine standing by an Eagle Nest, running W.S.W . bounding upon the Court House land & land of Wm. White, then N.N.W. &c. upon Mr. Jno. Merri- man, N.W.Nly. upon land of Mr. Nusum, Michael Arms, Danll. Harris & Richd. Merryman, N.E. upon land of Doctor Edwards & Tho. Marshall, E.Ely, on land of Jno. Nicholls, Wm. Abby, Wm. Lynhall, Mr. Balls & a former devdt. of sd. Wroughton. Trans, of 8 pers: Ann ..."
JNO. BERRY,350,Lancaster,1665-10-14,"JNO. BERRY, 350 acs. Lancaster Co., 14 Oct. 1665, p. 419, (491). On W. side of Corrotoman Riv., being part of a tract commonly known by the name of Powells neck; beg. on the river side & adj. Dogwood Spring, then extending W. &c. Part of 700 acs. granted to Wm. Clapham 11 Dec. 1663 & assigned to sd. Berry."
MR. RICHARD LAWRENCE,450,Lancaster,1665-10-11,"MR. RICHARD LAWRENCE, 450 acs. Lancaster Co., 11 Oct. 1665, p. 420, Patent Book No. 5 531 (493). On E.most br. of Corrotoman Riv., bounding upon land of Thomas Chetwood, running E. &c. Granted to Col. Jno. Carter, Esq., 25 Sept. 1661 & upon petition of sd. Lawrence it was granted to him by order of the Govr. &c, dated with these presents & further due for trans, of 9 pers: Mathew Bow- man, Jno. Chambers, Eliz. Mills, Wm. Jackson, Jno. Pike, Jno. Read, Thomas Baker, Eliz. Hobbart, Mathew Harrett."
MR. ISAAK ALLERTON,1600,Northumberland,1665-10-20,"MR. ISAAK ALLERTON, 1600 acs. Northumberland County, 20 October 1665, page 431, (512)'. South side of Potomack River & Ewd. side of Macho- tigue River alias Trent, beginning on the South side of a vallie or m^rs!""1 de- viding this & land of Wm. Gooch, up the river S.S.W. to a Cr. issuing out of sd. Riv. Trent deviding this from land of Mr. Richd. Lee &c. Granted to Lewis Burwell 17 Oct. 1650 & assigned to Richd. Turny 4 Sept. 1651, who as- signed to the above."
MR. HENRY MEESE,1000,Stafford,1665-10-20,"MR. HENRY MEESE, 1000 acs. Stafford Co., 20 Oct. 1665, p. 432, (513). S. side of Potomack Cr., beg. on E. side of a swamp & small gutt de- viding this & another tract in possession of sd. Meese, extending S. &c. to greate Eastern br. of Wipsewasin Cr. includ- ing a poynt of land on the W. side of sd. Cr. abutting upon Potomack Cr. &c. Granted to Col. Thomas Pettus, Esqr., 15 Mar. 1658 & by him & Eliz. his wife assigned to sd. Meese & ack'd. in court by Major Edward Griffeth, Atty. of sd. Pettus ..."
MR. JNO. KNOWLES,100,Lancaster,1663-12-30,"MR. JNO. KNOWLES, 100 acs. Henrico Co., according to ancient bounds thereof, 30 Dec. 1663, p. 441, (528). Granted to Capt. Mathew Goffe, dec'd. & lately found to escheate etc. (as above). WM. LENNULL (Lenawell), 500 acs. Lancaster Co., according to the an- cient bounds thereof, 2 Sept. 1663, p. 441, (528). Granted to Jno. Frish (or Fish) & lately found to escheate & by inquisition dated 14 Oct. 1662 etc."
MR. DAVID FOX,200,Lancaster,1665-12-29,"MR. DAVID FOX, 200 acs. on N. side of Lancaster Co., 29 Dec. 1665, p. 455, (551). Beg. by the side of a main br. of the N.W. branch of Corrotoman, running down same S.S.W. 240 po. from a red oake, N. & by W. bounding upon land of Robert Pollard &c, bound- ing upon land of Capt. Jennings & Mr. Mathew Kemp &c. Trans, of 4 pers: James Johnson, Mary Stevens, Abram Vines, Wm. Phillips."
JOHN COLCLOUGH,500,Stafford,1665-10-22,"JOHN COLCLOUGH, 500 acs. Staf- ford Co., 22 Oct. 1665, p. 465, (565). N.E. side of Quanticutt Cr., N.W. upon a greate br. deviding this & land of Henry Walker &c. Trans, of 10 pers: Robt. Jones, George Grissell, Henry Lane, Nich. Racholins, Wm. Jackson, Teage O Comly (or Conily), Eliz. Quome, Joane Somerdon, Ann Bayly, Hugh Richards. CHRISTOPHER LUM (or Lunn), 800 acs. Stafford Co., 22 Oct. 1665, p. 465, (565). S.W. side of Quonticutt Cr., S.E. upon land surveyed for Henry Walker, S.W. upon back..."
HENRY WALKER,500,Stafford,1665-10-22,"HENRY WALKER, 500 acs. Stafford Co, 22 Oct. 1665, p. 466, (566). N.E. side of Quanticutt Cr, beg. upon a poynt on N.W. side of a greate br. nere a sunken marsh, NfW. by land of Thomas Dios & S.W. by sd. Cr. Trans, of 10 pers: Mathew Fearson, Ant. Royly, Alice Rigg, Jno. Wells, Jane Fish, Jno. Hibit, Ann Sheppard, Danll. Stephens, Jno. Cawson, Jno. Frevitt (?)."
JOHN COLDCLOUGH,200,Stafford,1665-11-10,"JOHN COLDCLOUGH, 200 acs. Stafford Co, 10 Nov. 1665, p. 467, (568). S.W. side of Quanticutt Cr, beg. on N.W. side of a run of water adj. to a marsh with marked trees, S.W. with back line of Richard Hayberd, N.W. with land of Xtophr. Lun &c. Trans, of 4 pers: Thomas Crouch, Ann Seate, Mary Baker, Eliz. Watkins."
TOFT,2200,Stafford,1665-03-22,"TOFT, 2200 acs. Stafford Co., 22 Mar. 1665/6, p. 476, (582). Upon main run of Quanticutt Cr. 1200 acs. extending N. by E. &c. & 1000 acs. beg. at Xtopr. Luns cor. tree, running S.S.W. &c. Trans, of 44 pers: Jno. Wormenton, Rich. Founding, Mary Core, Edmond Eterman, Grace Hill, George Chadwin, Tone East, Garat Christi, Isaak Hannock, Jno. Bowler, Cunny Benigham, Isaak Reynolds, Abigail Short, Susan Core, Tonr(?) Evans, Thomas Durly, Jno. Patent Book No. 5 547 Stone, 4, Humphry Mead, Jno. Machary,..."
MR. THOMAS MORRIS,1280,Stafford,1665-03-24,"MR. THOMAS MORRIS, 1280 acs. Stafford Co., 24 Mar. 1665/6, p. 478, (584). Upon the maine run of Quanti- cutt Cr., beg. at the line of Mr. Wm. Beck & Mr. Richard Hatoft, S.Wly. &c, crossing sd. run &c. Trans, of 26 pers: Jno. Grey, George Smith, Wm. Ester, George Michell, Jno. Scull (or Snell), Mary Nox, Edwd. RatlifTe, Wm. Nor- man, George Fleet, Humphry Minor, Wm. Burby, Robt. Warren, Arthur Wright, Robt. Wedge, Wm. Dolton, Xpian. (Christian) Wood, Patriack Miller, Jno. Davis, Tho. Godfrey, Tho..."
WM. DUDLY,600,Lancaster,1665-01-01,"WM. DUDLY, 600 acs. Lancaster Co., N. side of Peancketank Riv., 5 Sept. 1665, p. 506, (621). Opposite land formerly in the occupation of Mr. Wm. Hackady, beg. at the mouth & upon S.E. side of a small Cr., extending along sd. Riv. S.E. by E. to poynt opposite Hoccadyes Cr. &c. Granted to Peter Rigby & George Keible 8 Oct. 1656 & by them assigned to the abovenamed. JOHN WEIRE (Weir), Gent., 2502 acs. Rappa. Co., Sittingborne Parish & on N. side of the River, 6 June 1666, p. 507, (621). 1200 acs. g..."
LT. COL. HENRY MEESE,2000,Stafford,1666-01-01,"LT. COL. HENRY MEESE, 2000 acs. Stafford Co., 7 Tune 1666, p. 514, (630). S. side of Potomack Cr., 1000 acs. beg. on E. side of a Sw. & small gutt deviding this & land now in 560 Cavaliers and Pioneers possession of sd. Meese, extending S. &c. to a greate E. br. of Whiptewasin Cr. & 1000 acs. bounded N. by sd. 1000 acs., E. by land of Thomas Griggs, W. by land now in possession of Mr. Wm. Horton & Mr. Wm. Heaberd. 1000 acs. by pattern dated 20 Oct. 1665 & 1000 acs. due for trans, of 20 pers: Jno..."
ANTHONY MATHEWES,1300,Lancaster,1666-07-10,"ANTHONY MATHEWES, 1300 acs. Isle of Wight Co., 10 July 1666, p. 519, (637). Upon Sewards Sw., beg. at cor. tree of Robt. Williamson &c. Trans, of 26 pers: Lawrence Baker, Lawrence Baker, Elizabeth Baker, John Baker, James Baker, Joseph Baker, Jno. Ma- coms, James Wilson, Robt. Bruce, Jno. Stoops, Jno. Phillips, James Clarke, And. Overing, Wm. Heate (or Heale), Tho. Powell, James Richards, Ann Reeve, Alice Lee, An Milington, James Downes, Robt. Bennett, Rich. Miller, Jane Good- man, Jno. Dobson, ..."
WM. BOREN,1000,Stafford,1666-06-05,"WM. BOREN, 1000 acs. Stafford Co., 5 June 1666, p. 526, (644\ N.E. side of Accaquon Cr. Trans, of 20 pers: Wm. Prohing (?), Jno. Plinton, Tho. Williams, Giles Dement, Presilla Cotto, Rebecca Warrin, Bridgett Teverton, Wm. Cooper, Tho. Cooper, Tho. Palmer, Mar. JefTurd, Wm. Frissell, Tho. Downes, Tho. Allen, Mary Holmes, Tho. More, Robt. Fuller, Charles Webb, James Miller, Henry Oride (?)."
